sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,45.94398692537117,0.0,0.0,0.0,0.9424942959375233,0,0,1,0,1,0,1.0,0.0
1,28.24578187201081,0.0,0.0,0.0,10.852379313376648,1,1,0,0,0,1,1.0,0.0
1,46.40110501473051,0.0,0.0,0.0,26.55976414065517,1,0,1,0,0,1,1.0,0.0
1,38.23646439839489,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1.0,0.0
1,22.322744382677374,0.0,0.0,0.0,16.844676385732036,1,0,0,1,0,1,1.0,0.0
1,47.47488463124086,0.0,0.0,0.0,1.1249430420389404,1,0,1,0,0,1,1.0,0.0
1,22.552062023836157,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1.0,0.0
1,45.40355721273769,0.0,0.0,0.0,0.0,1,0,1,0,0,1,1.0,0.0
1,48.17772680566208,0.0,0.0,0.0,1.860599989419897,1,0,0,0,1,0,0.0,1.0
1,28.430325041552447,0.0,0.0,0.0,2.0433857336165953,0,1,0,0,1,0,0.0,1.0
1,28.471014413863433,0.0,0.0,0.0,3.743097625364198,1,1,0,0,1,0,1.0,0.0
1,47.42014119619529,0.0,0.0,0.0,9.943206872022024,1,0,1,0,1,0,1.0,0.0
1,21.98725530668871,0.0,1.0,0.0,10.193921806796585,1,0,0,1,0,1,1.0,0.0
1,23.00282996494804,0.0,0.0,1.0,0.0,0,1,0,0,1,0,0.0,1.0
1,38.36308274379242,0.0,0.0,0.0,0.1430249781360321,1,1,0,0,1,0,0.0,1.0
1,47.97750255558404,0.0,0.0,0.0,8.47297386341856,0,0,1,0,1,0,1.0,0.0
1,44.708672492216614,0.0,6.0,0.0,15.340555193348692,0,1,0,0,1,0,1.0,0.0
1,46.871373167871276,0.0,0.0,0.0,2.0905373139312156,1,0,1,0,0,1,1.0,0.0
1,30.924360220947634,0.0,0.0,0.0,11.451281255575335,0,1,0,0,0,1,1.0,0.0
0,44.13558350727434,0.0,0.0,0.0,0.6434564304675792,0,1,0,0,1,0,1.0,0.0
1,45.51638797697498,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1.0,0.0
0,46.12713161169402,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0.0,1.0
1,28.809301652085573,0.0,0.0,0.0,16.77785569598332,1,1,0,0,0,1,1.0,0.0
0,22.357463720796293,0.0,0.0,0.0,2.258328221300605,0,0,0,1,0,1,1.0,0.0
0,38.30782113507741,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1.0,0.0
0,28.76602862885191,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,0.0
1,22.352907083116893,0.0,0.0,0.0,0.10755913031571301,1,0,0,1,0,1,1.0,0.0
1,23.087466921940134,0.0,0.0,0.0,0.8938685562828851,1,1,0,0,1,0,1.0,0.0
1,28.947732656432386,2.0,0.0,0.0,0.9431649129281583,0,1,0,0,1,0,1.0,0.0
1,28.938537447559288,0.0,0.0,0.0,11.603249773108109,0,1,0,0,1,0,0.0,1.0
1,38.217454388203365,0.0,0.0,0.0,9.577519117687814,0,1,0,0,0,1,0.0,1.0
1,30.910285789861657,0.0,0.0,0.0,20.307862764970068,1,1,0,0,0,1,1.0,0.0
1,28.544002684670737,0.0,0.0,0.0,14.255353124201623,0,1,0,0,0,1,1.0,0.0
1,22.736486493615132,0.0,0.0,0.0,3.288324155189823,0,0,0,1,0,1,0.0,1.0
1,28.421620714012093,0.0,0.0,0.0,1.771462929060988,1,1,0,0,0,1,1.0,0.0
1,31.68855919583077,0.0,0.0,0.0,0.9344094174442537,1,1,0,0,1,0,1.0,0.0
1,38.324524729714945,0.0,0.0,0.0,0.7218251103082461,1,1,0,0,1,0,1.0,0.0
1,38.52926281837068,0.0,0.0,0.0,0.8543113737780829,1,1,0,0,1,0,1.0,0.0
1,35.54907675502776,0.0,0.0,0.0,3.3331914121543407,1,1,0,0,1,0,1.0,0.0
0,31.90862769124111,0.0,0.0,0.0,0.014640994314868427,1,1,0,0,0,1,1.0,0.0
0,47.95795851678614,0.0,0.0,0.0,9.142574856190892,1,0,1,0,1,0,1.0,0.0
0,21.980139056394425,0.0,0.0,0.0,1.091273595949788,0,0,0,1,1,0,1.0,0.0
1,27.93996020095588,0.0,0.0,0.0,17.006054700827697,0,1,0,0,0,1,0.0,1.0
1,28.127512443092456,0.0,1.0,1.0,14.573647969992619,1,1,0,0,1,0,1.0,0.0
1,28.61736352453554,0.0,0.0,1.0,0.1866138036320318,0,1,0,0,0,1,0.0,1.0
1,35.26261323166717,0.0,0.0,0.0,0.15838739530481424,0,1,0,0,0,1,1.0,0.0
1,22.361171830323094,0.0,0.0,0.0,0.11117325861316679,0,0,0,1,1,0,0.0,1.0
0,28.13327888817368,0.0,0.0,1.0,0.0,0,1,0,0,1,0,1.0,0.0
1,48.10553684337513,0.0,0.0,1.0,4.980834779431538,1,0,1,1,1,0,0.0,1.0
1,22.450227189196497,0.0,0.0,0.0,1.329428045932678,1,0,0,1,0,1,1.0,0.0
1,47.940970693902486,0.0,0.0,0.0,23.28231558000927,1,0,1,0,1,0,1.0,0.0
1,35.5653551330514,0.0,6.0,0.0,0.36141746250505935,1,1,0,0,0,1,1.0,0.0
0,22.35804974705915,0.0,0.0,0.0,14.970836905424527,1,0,0,1,1,0,1.0,0.0
1,46.70047447339307,0.0,0.0,0.0,9.78347735709979,0,0,1,0,1,0,1.0,0.0
0,22.905743252332194,0.0,0.0,2.0,22.81428397370486,0,1,0,0,1,0,1.0,0.0
1,22.501644534964985,0.0,0.0,0.0,28.694591943129936,1,0,0,1,1,0,1.0,0.0
0,28.964805946464637,0.0,0.0,0.0,0.6908850944056986,0,1,0,0,0,1,0.0,1.0
1,39.47134375661743,2.0,0.0,0.0,14.275304475878386,1,1,0,0,1,0,1.0,0.0
1,28.47760234462327,0.0,0.0,0.0,2.415663435384898,1,1,0,0,1,0,1.0,0.0
1,22.356869569892446,0.0,0.0,1.0,0.0,0,0,0,1,1,0,1.0,0.0
0,34.96665663247194,0.0,0.0,0.0,6.228908092831845,0,1,0,0,1,0,1.0,0.0
0,31.030238661641324,0.0,0.0,0.0,0.6309743828692702,1,1,0,0,0,1,1.0,0.0
1,47.692017087675275,0.0,0.0,0.0,6.135012120617678,0,0,1,0,0,1,1.0,0.0
1,23.429167139836853,0.0,0.0,1.0,11.494952649025869,1,1,0,0,0,1,1.0,0.0
1,48.0317367681708,0.0,0.0,0.0,0.8811806660292549,1,0,0,0,0,1,1.0,0.0
1,34.180028482484545,0.0,0.0,0.0,0.5994847394171868,0,1,0,0,1,0,0.0,1.0
1,28.566843477718116,0.0,0.0,0.0,10.780858269070054,1,1,0,0,1,0,1.0,0.0
1,22.360431318980172,0.0,0.0,0.0,3.9887596832719443,1,0,0,1,0,1,1.0,0.0
1,22.541034781793012,0.0,0.0,0.0,0.8567315195010714,1,0,0,1,0,1,1.0,0.0
0,29.223286706172594,0.0,0.0,1.0,2.3228065197302774,1,1,0,0,0,1,1.0,0.0
1,22.31952480372158,0.0,0.0,0.0,3.5973495587042126,0,0,0,1,0,1,1.0,0.0
1,28.552608800680073,0.0,0.0,0.0,2.030600315082393,1,1,0,0,1,0,0.0,1.0
1,22.349313010817184,0.0,0.0,0.0,7.5463136245771345,1,0,0,1,0,1,1.0,0.0
1,38.45325036702482,0.0,0.0,1.0,14.90164951373668,1,1,0,0,0,1,1.0,0.0
1,22.072338768231166,0.0,0.0,0.0,0.11987557584714872,0,0,0,1,0,1,1.0,0.0
1,39.29582466329227,0.0,0.0,0.0,2.222452304726823,0,1,0,0,1,0,1.0,0.0
1,23.148322411805598,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1.0,0.0
1,35.563098466107725,0.0,0.0,0.0,24.76256987886145,1,1,0,0,0,1,0.0,1.0
1,28.704009016790103,0.0,0.0,0.0,0.02750555056656362,0,1,0,0,0,1,1.0,0.0
0,35.56811447794059,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1.0,0.0
1,28.928618611893953,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1.0
1,31.016814063522155,0.0,0.0,0.0,0.6946360644972764,0,1,0,0,0,1,1.0,0.0
0,22.336834731273992,0.0,0.0,0.0,9.293378968668657,1,0,0,1,1,0,1.0,0.0
1,22.355542915385357,0.0,0.0,2.0,0.4513200526793354,1,0,0,1,1,0,1.0,0.0
1,22.92795011727499,0.0,0.0,1.0,9.313463799765591,0,1,0,0,1,0,1.0,0.0
1,31.394928414116375,0.0,0.0,0.0,0.2724847656859856,1,1,0,0,0,1,1.0,0.0
1,31.351506065331144,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,0.0
1,31.28919009293833,0.0,0.0,0.0,15.56958834600421,0,1,0,0,0,1,1.0,0.0
1,22.36023545083666,0.0,0.0,0.0,0.47277218249152175,1,0,0,1,1,0,1.0,0.0
1,35.235810069579124,0.0,0.0,0.0,4.135689851772083,1,1,0,0,1,0,1.0,0.0
0,35.46434803543586,2.0,0.0,0.0,1.5073060798147948,1,1,0,0,0,1,1.0,0.0
1,22.361850559324125,0.0,6.0,0.0,9.704674131908329,1,0,0,1,1,0,1.0,0.0
1,34.67137896019749,0.0,1.0,1.0,12.123976809417812,1,1,0,0,1,0,1.0,0.0
1,34.85321973172339,0.0,0.0,0.0,0.1282101363360002,0,1,0,0,0,1,0.0,1.0
0,28.510896229958913,0.0,0.0,0.0,0.8583898897680935,0,1,0,0,0,1,1.0,0.0
1,38.683578242711256,0.0,0.0,0.0,3.530766967435381,1,1,0,0,0,1,0.0,1.0
1,43.04032430226541,0.0,0.0,0.0,0.9267504408183733,0,1,0,0,1,0,1.0,0.0
1,29.126879305115537,0.0,0.0,0.0,8.130720557340151,1,1,0,0,0,1,0.0,1.0
1,22.168297909269437,0.0,0.0,0.0,0.2602846847534438,0,0,0,1,1,0,0.0,1.0
1,28.420112452905663,0.0,0.0,0.0,2.762027198448279,1,1,0,0,1,0,0.0,1.0
1,46.10406383431015,0.0,0.0,0.0,12.490424576425495,0,0,1,0,1,0,1.0,0.0
1,21.978346725522265,0.0,0.0,0.0,1.8649922455894674,0,0,0,1,1,0,1.0,0.0
0,45.96555330479118,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0.0,1.0
1,36.039932984710006,0.0,0.0,0.0,0.12997301911433554,0,1,0,0,0,1,1.0,0.0
0,35.338572572985235,0.0,0.0,0.0,10.019264036469355,0,1,0,0,1,0,1.0,0.0
1,45.78276709491354,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1.0,0.0
1,35.28811436153444,0.0,0.0,0.0,0.3255048043667383,0,1,0,0,1,0,1.0,0.0
1,47.75844515742638,0.0,0.0,0.0,20.662504764305083,1,0,1,0,0,1,1.0,0.0
1,46.77203841537155,0.0,0.0,0.0,20.414064910603766,1,0,1,0,1,0,0.0,1.0
1,23.43851024316947,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,1.0
1,28.314854024139844,0.0,1.0,1.0,3.0934916920124436,1,1,0,0,1,0,1.0,0.0
1,28.922814786481357,0.0,0.0,0.0,2.8646199529624443,0,1,0,0,0,1,1.0,0.0
1,22.3365141294336,0.0,0.0,0.0,1.7978381294397698,0,0,0,1,0,1,0.0,1.0
1,46.94634607131009,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,1.0
1,22.867028285916575,0.0,0.0,0.0,10.251150573219551,1,1,0,0,0,1,1.0,0.0
1,38.2374735114282,0.0,0.0,1.0,2.5556069477059955,1,1,0,0,1,0,1.0,0.0
0,39.6502958245478,0.0,0.0,0.0,3.3385971707119704,0,0,0,1,1,0,1.0,0.0
1,28.630681501843362,0.0,0.0,0.0,21.53365895705778,0,1,0,0,0,1,0.0,1.0
1,28.549234167839764,0.0,0.0,0.0,10.33183921168445,1,1,0,0,1,0,1.0,0.0
1,38.26809956719036,0.0,0.0,0.0,30.992989165565405,1,1,0,0,0,1,1.0,0.0
1,35.014992488899104,0.0,0.0,0.0,5.781978234264521,1,1,0,0,0,1,1.0,0.0
1,22.447517826004567,0.0,0.0,0.0,0.9638328122627385,0,0,0,1,0,1,1.0,0.0
1,47.772747438057046,0.0,0.0,0.0,0.19313289792763563,1,0,1,0,0,1,0.0,1.0
1,28.33825975389345,0.0,0.0,0.0,4.157686859432421,1,1,0,0,1,0,0.0,1.0
1,23.07488465868244,0.0,0.0,0.0,3.8492054228336423,0,1,0,0,1,0,1.0,0.0
1,22.506820574231007,0.0,0.0,0.0,11.621941935960514,1,0,0,1,0,1,1.0,0.0
1,37.21291032782107,0.0,0.0,0.0,0.07720151737176989,0,1,0,0,0,1,1.0,0.0
1,29.129066759790124,0.0,0.0,1.0,2.891080709350317,0,1,0,0,0,1,1.0,0.0
1,22.4891134744807,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,1.0
1,46.15251998856872,0.0,0.0,0.0,7.5649904684677125,1,0,1,0,0,1,1.0,0.0
1,28.79611274271438,0.0,0.0,0.0,3.974209833758166,1,1,0,0,0,1,1.0,0.0
1,38.21217761169992,0.0,0.0,0.0,27.43704223782094,1,1,0,0,1,0,1.0,0.0
1,22.688959477289114,0.0,0.0,0.0,0.4865095327184221,0,0,0,1,0,1,1.0,0.0
0,47.83247882833005,0.0,0.0,0.0,0.31290389386249223,0,0,1,0,0,1,1.0,0.0
1,37.877757552461425,0.0,0.0,0.0,0.0948848023003182,0,1,0,0,1,0,0.0,1.0
1,45.428330481213735,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,1.0
1,22.636472542992394,0.0,0.0,0.0,0.0,1,0,0,1,1,0,1.0,0.0
1,46.95575375416411,0.0,0.0,0.0,24.17653029291106,1,0,1,0,1,0,1.0,0.0
1,39.166805138679976,0.0,0.0,0.0,28.512081349153895,1,1,0,0,0,1,1.0,0.0
1,28.89704386915683,0.0,0.0,0.0,1.9790522244443525,0,1,0,0,1,0,0.0,1.0
0,38.587941021762205,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0.0,1.0
0,28.58297961463128,0.0,0.0,0.0,4.1078865761660035,1,1,0,0,0,1,1.0,0.0
1,38.08917138115713,0.0,0.0,1.0,0.0,0,1,0,0,1,0,0.0,1.0
1,45.114675032023115,0.0,0.0,0.0,13.105781391064053,0,1,0,0,0,1,0.0,1.0
1,30.96302447850825,0.0,0.0,1.0,0.0,0,1,0,0,0,1,1.0,0.0
1,47.45544162864511,0.0,0.0,0.0,0.9187468762710145,1,0,1,0,0,1,1.0,0.0
1,28.600206481402335,0.0,0.0,0.0,0.5353347428583336,1,1,0,0,0,1,1.0,0.0
1,22.54474283286916,0.0,0.0,0.0,30.23665087300615,1,0,0,1,1,0,1.0,0.0
1,35.247800383707904,0.0,0.0,0.0,0.24907299654492523,1,1,0,0,0,1,0.0,1.0
1,35.16284582740654,0.0,0.0,0.0,0.10386930926319604,0,1,0,0,1,0,1.0,0.0
1,47.9731838641596,0.0,0.0,0.0,0.8297355868762022,0,0,1,0,1,0,1.0,0.0
1,29.015828335565466,0.0,0.0,0.0,2.7287190633283807,1,1,0,0,1,0,1.0,0.0
1,47.3291880028806,0.0,0.0,0.0,3.712775503191309,1,0,1,0,0,1,0.0,1.0
1,30.804331776511173,0.0,0.0,0.0,6.334072850406594,0,1,0,0,1,0,1.0,0.0
0,39.47650297819991,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1.0
1,35.43317350205951,0.0,0.0,0.0,6.129692357851487,0,1,0,0,0,1,0.0,1.0
1,35.01812246668161,0.0,0.0,1.0,0.3572223811593388,0,1,0,0,0,1,1.0,0.0
0,30.643706573718852,0.0,0.0,0.0,5.805270352501061,0,1,0,0,0,1,1.0,0.0
1,28.910077262243725,0.0,0.0,0.0,0.5612813716541228,0,1,0,0,0,1,1.0,0.0
0,28.353031332389182,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,1.0
1,48.12671766864775,0.0,6.0,0.0,9.106879743039313,1,0,1,0,1,0,0.0,1.0
1,47.162312974116574,0.0,0.0,0.0,0.0,1,0,1,0,0,1,1.0,0.0
0,34.713059575978484,0.0,0.0,0.0,1.1051618037707431,1,1,0,0,1,0,1.0,0.0
1,45.42853012874917,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1.0,0.0
1,28.703019848587264,0.0,0.0,0.0,0.6028991221181751,1,1,0,0,0,1,1.0,0.0
1,44.585290414634564,0.0,0.0,0.0,6.4238915051473,1,1,0,0,0,1,1.0,0.0
1,28.325711423502813,0.0,0.0,0.0,2.196885174757688,1,1,0,0,0,1,1.0,0.0
1,35.03586637476962,0.0,0.0,0.0,0.08456114327870662,1,1,0,0,0,1,1.0,0.0
0,29.161067497247043,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1.0,0.0
0,28.792316875856855,0.0,0.0,1.0,3.862338239025429,0,1,0,0,0,1,1.0,0.0
1,47.75073286204433,1.0,0.0,0.0,0.4654365210000633,0,0,1,0,1,0,1.0,0.0
0,38.95181338201981,0.0,0.0,0.0,13.287609129554072,1,1,0,0,0,1,0.0,1.0
